finger_0_x, finger_0_y, finger_0_z, finger_1_x, finger_1_y, finger_1_z, finger_2_x, finger_2_y, finger_2_z, finger_3_x, finger_3_y, finger_3_z, imp00, imp01, imp02, imp03, imp10, imp11, imp12, imp13, imp20, imp21, imp22, imp23, imp30, imp31, imp32, imp33, trq00, trq01, trq02, trq03, trq10, trq11, trq12, trq13, trq20, trq21, trq22, trq23, trq30, trq31, trq32, trq33, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 9.09183e-17, 0.000782024, 0.000426094, 0.000174757, 1.11378e-32, 0.000769885, 0.000419459, 0.000172036, 6.80468e-20, 0.000781131, 0.000425606, 0.000174557, 0.00203368, 2.63718e-18, 0.00024287, 0.000109641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 1.01021e-16, 0.000860806, 0.000468703, 0.000192233, 1.23755e-32, 0.000847453, 0.000461404, 0.00018924, 7.48515e-20, 0.000859824, 0.000468166, 0.000192013, 0.00223705, 2.90546e-18, 0.000267157, 0.000120606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 1.11124e-16, 0.000939587, 0.000511313, 0.000209709, 1.36131e-32, 0.000925021, 0.00050335, 0.000206443, 8.16562e-20, 0.000938515, 0.000510727, 0.000209469, 0.00244042, 3.17374e-18, 0.000291444, 0.00013157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 1.21227e-16, 0.00101837, 0.000587819, 0.000227185, 1.48508e-32, 0.00100259, 0.000579196, 0.000223647, 8.84609e-20, 0.00101721, 0.000587184, 0.000226924, 0.00264378, 3.4447e-18, 0.000315731, 0.000142534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 1.3133e-16, 0.00109715, 0.00066429, 0.00024466, 1.60885e-32, 0.00108015, 0.000655008, 0.00024085, 9.52656e-20, 0.0010959, 0.000663607, 0.00024438, 0.00284715, 3.71566e-18, 0.000340018, 0.000153498, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 1.41432e-16, 0.00117593, 0.000740726, 0.000262136, 1.73261e-32, 0.00115772, 0.000730785, 0.000258054, 1.0207e-19, 0.00117459, 0.000739994, 0.000261836, 0.00305052, 3.97589e-18, 0.000364305, 0.000164462, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 1.51535e-16, 0.00125471, 0.000817127, 0.000279612, 1.85638e-32, 0.00123528, 0.000806527, 0.000275258, 1.08875e-19, 0.00125328, 0.000816348, 0.000279291, 0.00325389, 4.2388e-18, 0.000388592, 0.000175426, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 1.61638e-16, 0.00133348, 0.000893494, 0.000297088, 1.98015e-32, 0.00131285, 0.000882235, 0.000292461, 1.1568e-19, 0.00133196, 0.000892666, 0.000296747, 0.00345726, 4.50708e-18, 0.000412879, 0.000186391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 1.71741e-16, 0.00141226, 0.000969826, 0.000314563, 2.10391e-32, 0.00139041, 0.000957909, 0.000309665, 1.22484e-19, 0.00141065, 0.000968949, 0.000314203, 0.00366063, 4.76999e-18, 0.000437166, 0.000197355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 1.81843e-16, 0.00149104, 0.00104612, 0.000332039, 2.22768e-32, 0.00146797, 0.00103355, 0.000326868, 1.29289e-19, 0.00148934, 0.0010452, 0.000331659, 0.00386399, 5.02754e-18, 0.000461453, 0.000208319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
